word,origin,category,root,first_use,history,modern_relatives
tragedy,Greek,Greek,tragos (goat) + ode (song),14th century,"Tragedy is literally “goat song.” Greek word tragoidia is composed of tragos (goat) and ode (song). Tragedy remains the most important term in Western drama, and yet the reason for its name remains an unresolved goat business. If anything, the tragedians of ancient Greece were performing as goat-skinned persons in Dionysia competitions, perhaps even being awarded a goat or two for their performances, or perhaps they played satyrs singing and dancing in chorus.",tragic; odeum; melody
travel,French,French,"travail (hard work, torture)",14th century,"The word travel comes from a torture device. The Old French word travail (penal labour etc.) comes from the Vulgar Latin tripaliare (to torture with a tripalium, a three-staked frame). Medieval journeys were often arduous (bandits, weather, disease, etc.) and could take months on foot or horseback. So the same word was used for both the journey and the ordeal. Later, English differentiated between the two by using travail for the ordeal, and travel for the trip. But once, travel was a form of travail.",travail
treacle,Greek,Greek,theriake (antidote against wild beast bites),14th century,"From ancient Greek theriake antidotos (an antidote for animal venom) to the complex mixtures of ingredients sold by medieval apothecaries under the same name (guaranteed to cure you of any poison), treacle has always been a mysterious substance. In the 18th century, it was simply molasses.",
trivial,Latin,Latin,trivium (three roads),15th century,"The Latin word trivium described the place where three roads met – and that is where the locals would gather to gossip about trifling matters as they stopped on their journey through the crossroads. Interestingly, the term trivium was also used to refer to the three subjects studied in the earliest medieval universities: grammar, logic, and rhetoric. The name stuck for a while, but was later dropped in favor of another term.",trivia; via; viaduct
tycoon,Japanese,Other,taikun (great lord),19th century,"The term taikun (great lord) was introduced by American diplomats who traveled to Japan in the 1850s. They applied it to the shogun. When American President Lincoln was in the middle of the Civil War, his cabinet jokingly referred to him as ""Tycoon,"" or ""great lord."" This was an American joke about the increasing power of the President. It was a term that, by the end of the century, was transferred from politicians to industrialists and has remained with them since.",
typhoon,Greek,Greek,typhon (whirlwind),16th century,"Typhoon entered the English language through two routes that eventually converged on the same spelling. Typhoon came from the Greek word for a monstrous storm god, Typhon, who battled Zeus with serpent legs. It also came from the Chinese word for a big wind, tai fung, which the Portuguese called tufão when they arrived in the Portuguese colonies of Asia. In the 16th century, the two meanings of the huge tropical cyclones of the Pacific and Indian Oceans were merged into a single English word.",typhus
ugly,Old Norse,Old Norse,"uggligr (fearful, dreadful)",13th century,"In Old Norse, ugly meant terrifying. The word uggligr is derived from ugga, ‘to fear’. Something ugly was something threatening, dangerous, or menacing. The change in English from ‘frightening’ to ‘ugly’ or ‘unattractive’ took place in Middle English, a slow process of softening a very powerful word. Something that was once perceived as a danger to others or even a threat became merely something that was distasteful to the eye.",
villain,French,French,vilain (farmworker),14th century,"The origin of the word ‘villain’ was a farmhand. Old French vilain described the peasant who worked on a villa or landed estate of a noble. The medieval nobility used this word to describe country people who were rough, dirty, and uneducated. In modern English, we still use the word ‘villain’ to describe a wicked person, with all the class prejudice of the ruling class that originally used the word.",village; villa; vile
volcano,Latin,Latin,Vulcanus (Roman god of fire),17th century,"According to Roman mythology, Vulcan, the god of fire and metalwork, had his forge on the island of Vulcano, north of Sicily. Therefore, every volcanic eruption was considered to be sparks from his hammer. The Italian sailors, who discovered other fire volcanoes, brought the name of the god with them. In the 17th century, the term “volcano” became the generic name for these fire-spewing mountains.",vulcanize
whiskey,Gaelic,Other,uisce beatha (water of life),15th century,"Whisky is Gaelic for “aqua vitae”, or “water of life”, which medieval Latin-speaking monks produced and called by that name. The phrase was translated into Gaelic as “uisce beatha”, which the English have since reduced to “whisky”. The French do the same for brandy, calling it “eau-de-vie”, which means “water of life” as well.",
window,Old Norse,Old Norse,vindauga (wind-eye),13th century,"Window is Old Norse for wind-eye. The Viking settlers of Britain brought the word vindauga to our language. The first part of the word, vindr, means wind, and the second part, auga, means eye. So the word window must refer to the small hole in a wall which brought air and light into a room before cheap glass was available. This word replaced the Old English word for window, eagþyrl, which is best translated as eye-hole. The wind still looks through every window.",
yoga,Sanskrit,Other,"yuj (to yoke, unite)",19th century,"Yoga means yoke. Sanskrit yuj (to yoke, harness) is the root, and the discipline of yoga is meant to yoke the individual self to universal consciousness. English ""yoke"" (the wooden bar over two oxen) and Sanskrit yuj share a Proto-Indo-European ancestor. Yoga class, in the strictest etymological sense, is training in harnessing yourself.",yoke
zero,Arabic,Arabic,"sifr (empty, nothing)",17th century,"Zero as an idea preceded its name: Sanskrit shunya (void) or sifr (empty), as translated by Arab mathematicians who transmitted the concept to medieval Europe, where it became the foundation of positional arithmetic. Although the sifr came to medieval Europe as early as the 12th c., for many years merchants preferred Roman numerals for their accounting books into the 16th c., fearing that a number for nothing would lead to unfavorable columns.",cipher
